N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	1	*	0	7	15.9	+	27	42	32	12.9
N	2	*	0	7	17.1	+	27	40	43	14.2
N	3	*	0	7	16.8	+	8	18	5	13.3
N	4	*	0	7	24.5	+	8	22	26	15.8
N	5	*	0	7	48.8	+	35	21	46	13.3
N	6	*	0	9	32.6	+	33	18	32	13.1
N	7	*	0	8	20.7	-	29	54	59	13.9
N	8	*	0	8	45.3	+	23	50	19	
N	9	*	0	8	54.5	+	23	49	4	13.5
N	10	*	0	8	34.3	-	33	51	28	12.5
N	11	*	0	8	42.3	+	37	26	53	13.7
N	12	*	0	8	44.8	+	4	36	44	13.1
N	13	*	0	8	47.7	+	33	25	59	13.2
N	14	*	0	8	46.3	+	15	48	57	12.1
N	15	*	0	9	2.4	+	21	37	30	13.8
N	16	*	0	9	4.2	+	27	43	48	12.0
N	17	*	0	11	6.6	-	12	6	28	14.4
N	18	*	0	9	23.0	+	27	43	56	
N	19	*	0	10	40.8	+	32	58	58	13.3
N	20	*	0	9	32.6	+	33	18	32	13.1
N	21	*	0	10	47.0	+	33	21	7	12.7
N	22	*	0	9	48.2	+	27	49	58	13.6
N	23	*	0	9	53.3	+	25	55	26	12.0
N	24	*	0	9	56.1	-	24	57	52	11.6
N	25	*	0	9	59.3	-	57	1	13	13.0
N	26	*	0	10	25.9	+	25	49	56	12.9
N	27	*	0	10	32.7	+	28	59	49	13.5
N	28	*	0	10	25.2	-	56	59	20	13.8
N	29	*	0	10	47.0	+	33	21	7	12.7
N	30	*	0	10	50.8	+	21	58	39	
N	31	*	0	10	38.5	-	56	59	10	13.9
N	32	*	0	10	53.2	+	18	47	33	
N	33	*	0	10	56.6	+	3	40	35	
N	34	*	0	11	6.6	-	12	6	28	14.4
N	35	*	0	11	10.4	-	12	1	14	14.1
N	36	*	0	11	22.4	+	6	23	20	13.3
N	37	*	0	11	23.0	-	56	57	25	13.7
N	38	*	0	11	47.0	-	5	35	11	13.3
N	39	*	0	12	18.8	+	31	3	39	13.5
N	40	*	0	13	1.0	+	72	31	21	12.3
N	41	*	0	12	48.0	+	22	1	26	13.7
N	42	*	0	12	56.3	+	22	6	3	13.8
N	43	*	0	13	0.9	+	30	54	56	12.6
N	44	*	0	13	13.4	+	31	17	12	
N	45	*	0	14	4.0	-	23	10	53	10.6
N	46	*	0	14	10.0	+	5	59	14	
N	47	*	0	14	30.5	-	7	10	4	13.1
N	48	*	0	14	2.1	+	48	14	6	13.6
N	49	*	0	14	22.4	+	48	14	50	13.7
N	50	*	0	14	44.6	-	7	20	42	12.3
N	51	*	0	14	34.8	+	48	15	22	13.1
N	52	*	0	14	40.0	+	18	34	54	13.4
N	53	*	0	14	43.0	-	60	19	43	12.6
N	54	*	0	15	7.6	-	7	6	24	13.4
N	55	*	0	15	8.0	-	39	13	10	7.9
N	56	*	0	15	20.6	+	12	26	40	
N	57	*	0	15	30.9	+	17	19	45	11.6
N	58	*	0	14	30.5	-	7	10	4	13.1
N	59	*	0	15	25.3	-	21	26	41	12.4
N	60	*	0	15	58.2	-	0	18	13	14.1
N	61	*	0	16	24.0	-	6	19	2	13.0
N	61		0	16	24.4	-	6	19	20	14.5
N	62	*	0	17	5.3	-	13	29	11	13.2
N	63	*	0	17	45.5	+	11	27	0	11.7
N	64	*	0	17	30.3	-	6	49	30	13.2
N	65	*	0	18	58.7	-	22	52	48	13.9
N	66	*	0	19	4.9	-	22	56	11	13.5
N	67	*	0	18	14.9	+	30	3	48	14.2
N	67		0	18	12.1	+	30	3	19	14.7
N	68	*	0	18	18.2	+	30	4	21	12.9
N	69	*	0	18	20.4	+	30	2	26	14.7
N	70	*	0	18	22.4	+	30	4	44	13.5
N	71	*	0	18	23.5	+	30	3	47	13.2
N	72	*	0	18	28.4	+	30	2	26	13.5
N	72		0	18	34.3	+	30	2	10	14.7
N	73	*	0	18	38.9	-	15	19	18	13.7
N	74	*	0	18	49.5	+	30	3	41	14.8
N	75	*	0	19	26.3	+	6	26	59	13.2
N	76	*	0	19	37.7	+	29	56	3	13.1
N	77	*	0	20	1.6	-	22	31	56	14.8
N	78	*	0	20	25.8	+	0	49	35	12.8
N	78		0	20	27.5	+	0	50	0	13.5
N	79	*	0	21	2.8	+	22	34	2	14.0
N	80	*	0	21	10.9	+	22	21	28	12.1
N	81	*	0	21	13.2	+	22	23	0	15.7
N	82	*	0	21	17.6	+	22	27	40	
N	83	*	0	21	22.6	+	22	26	3	12.5
N	84	*	0	21	21.2	+	22	37	9	
N	85	*	0	21	25.5	+	22	30	44	14.8
N	85		0	21	25.5	+	22	30	44	14.8
N	85		0	21	29.1	+	22	30	23	14.7
N	86	*	0	21	28.6	+	22	33	23	14.8
